id;entity_name;social_reason;cnpj;contact_person;phone;zip_code;address;city;state;email
1;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;15.948.797/0001-20;Rick; 55(16) 9 8854-0471;13.344-350;RUA DOIS;Indaiatuba;São Paulo;diogoalves.oliveira2018@gmail.com
2;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;15.948.797/0001-21;Arquimedes; 55(21) 9 7171-0975;13.344-351;RUA TRÊS;Indaiatuba;SP;dorataxi@hotmail.com
3;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;15.948.797/0001-22;Arquimedes; 55(98) 9 8493-9263;13.344-352;RUA UM;Indaiatuba;SP;johnkennedyabtibol@gmail.com
4;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;15.948.797/0001-23;Arquimedes; 55(16) 9 9284-3443;13.344-353;RUA B ;Salto;SP;caiouyeda@hotmail.com
5;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;15.948.797/0001-24;Arquimedes; 55(16) 9 9284-3443;13.344-354;RUA QUATRO ;Boituva;SP;caiouyeda@hotmail.com
6;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;15.948.797/0001-25;Arquimedes; 54(62) 3 3144-6230;13.344-355;RUA PRINCIPAL;Indaiatuba;SP;williansguisp@gmail.com
7;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;15.948.797/0001-26;Arquimedes; 54(21) 3 3539-8320;13.344-356;RUA A;Salto;SP;claucirtafarel@hotmail.com
8;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;15.948.797/0001-27;Arquimedes; 53(80) 3 3935-0410;13.344-357;RUA CINCO ;Boituva;SP;wandressonlucasdossanttoscolar@gmail.com
9;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;57.988.666/0001-17;Arquimedes; 53(39) 3 4330-2500;13.344-358;RUA SEIS;Indaiatuba;SP;dinho-luna@hotmail.com
10;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;57.988.666/0001-18;Arquimedes; 52(98) 3 4725-4590;13.344-359;RUA D ;Salto;SP;mariana.rviana@hotmail.com
11;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;57.988.666/0001-19;Arquimedes; 52(57) 3 5120-6680;13.344-360;RUA SETE;Indaiatuba;SP;darcy@netwi.net.br
12;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;57.988.666/0001-20;Arquimedes; 52(16) 3 5515-8770;13.344-361;RUA E ;Salto;SP;Suldeminasrol@yahoo.com.br
13;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;57.988.666/0001-21;Arquimedes; 51(75) 3 5911-0860;13.344-362;RUA F ;Boituva;SP;wandermitto@hotmail.com
14;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;57.988.666/0001-22;Arquimedes; 51(34) 3 6306-2950;13.344-363;RUA NOV;Indaiatuba;SP;gleyceldd@yahoo.com.br
15;CEUNSP;Centro Universitario Nossa Senhora da Aparecida;57.988.666/0001-23;Arquimedes; 50(93) 3 6701-5040;13.344-364;RUA DEZ;Salto;SP;contecnicaltda_macae@hotmail.com
