identifier;name;bio;admission;resignation;birth_date;zip_code;andress;andress_number;district;email;phone;cpf;role;cost_center;gender;photo;unity;user
1;Anderson Pereira Machado;Um funcionário muito competente ...;07/10/2020 21:00;;17/12/1985;19402-118;Rua Alexandre Barrilari Junior;621;Residencial Água Branca;anderson_funcionario@gmail.com;15998054279;44160655823;Web Master;1;Masculino;;1;100
2;Liniker Jardel  de Oliveira;Um funcionário muito competente ...;03/10/2020 00:34;;19/01/1974;28076-285;Rua Professora Sinézia Martini;380;Jardim Califórnia;linikerenem@gmail.com;19993740142;42757081802;Web Master;1;Masculino;;1;101
3;Miguel da Silva;Um funcionário muito competente ...;07/10/2020 00:00;;24/09/1995;63596-749;RUA UM ;245;Jardim Rosa 1;a_vanessinha_1990@hotmail.com;25187373357;94180959314;Web Master;1;Masculino;;1;102
4;Arthur dos Santos;Um funcionário muito competente ...;12/09/2020 00:00;;18/08/1979;56582-037;RUA B ;924;Jardim Rosa 2;a3sign@pandora.be;89753770178;65863610565;Web Master;1;Masculino;;1;103
5;Davi Pereira;Um funcionário muito competente ...;10/04/2016 00:00;;27/02/1971;67373-227;RUA QUATRO ;501;Jardim Rosa 3;aaanika2@hotmail.com;78750969588;25051853033;Web Master;1;Masculino;;1;104
6;Bernardo Alves;Um funcionário muito competente ...;10/03/2004 00:00;;03/03/1972;22342-273;RUA PRINCIPAL ;474;Jardim Rosa 4;aaron2003s@bol.com.br;78750969588;71428004395;Web Master;1;Masculino;;1;105
7;Heitor Ferreira;Um funcionário muito competente ...;20/04/2003 00:00;;03/01/1977;82660-989;RUA A ;671;Jardim Rosa 5;aaron--21@hotmail.com;79463329147;93304957005;Web Master;1;Masculino;;1;106
8;Gabriel de Oliveira;Um funcionário muito competente ...;23/08/2010 00:00;;10/01/1968;48927-837;RUA C ;427;Jardim Rosa 6;abidoral@hotmail.com;90705855413;83019799587;Web Master;1;Masculino;;1;107
9;Pedro Silva;Um funcionário muito competente ...;05/07/2014 00:00;;13/10/1990;80900-639;RUA CINCO ;505;Jardim Rosa 7;abk_333@hotmail.com;32764262797;82972986345;Web Master;1;Masculino;;1;108
10;Lorenzo Rodrigues;Um funcionário muito competente ...;16/10/2009 00:00;;30/01/1960;48720-383;RUA SEIS ;431;Jardim Rosa 8;abner_bim@hotmail.com;87989735845;64317153300;Web Master;1;Masculino;;1;109
11;Lucas de Souza;Um funcionário muito competente ...;06/07/2011 00:00;;24/01/1979;81432-442;RUA D ;177;Jardim Rosa 9;abner_bim@hotmail.com;91395774250;92614161899;Web Master;1;Masculino;;1;110
12;Matheus Gomes;Um funcionário muito competente ...;31/05/2002 00:00;;26/12/1997;62097-654;RUA SETE ;878;Jardim Rosa 10;acacio_divix@hotmail.com;45546635409;21484235698;Web Master;1;Masculino;;1;111
13;Enzo Santos;Um funcionário muito competente ...;15/12/2004 00:00;;04/06/1979;39305-838;RUA OITO ;582;Jardim Rosa 11;academia.boaforma@yahoo.com.br;73881457583;18418566389;Web Master;1;Masculino;;1;112
14;Theo Oliveira;Um funcionário muito competente ...;30/10/2006 00:00;;09/01/1984;31533-770;RUA E ;195;Jardim Rosa 12;ac-ferian@bol.com.br;73881457583;78921493426;Web Master;1;Masculino;;1;113
15;Benjamin Ribeiro;Um funcionário muito competente ...;25/01/2013 00:00;;30/01/1975;35294-204;RUA F ;742;Jardim Rosa 13;acordarsono@hotmail.com;95286123190;95552361505;Web Master;1;Masculino;;1;114
16;Rafael Martins;Um funcionário muito competente ...;18/06/2010 00:00;;24/01/2000;25663-762;RUA NOVE ;436;Jardim Rosa 14;acsa_lim@yahoo.com.br;46467594136;53014168044;Web Master;1;Masculino;;1;115
17;Nicolas Gonçalves;Um funcionário muito competente ...;26/01/2011 00:00;;16/03/1974;65711-923;RUA DEZ ;306;Jardim Rosa 15;adamyth@gmail.com;46467594136;27977013856;Web Master;1;Masculino;;1;116
18;Guilherme Soares;Um funcionário muito competente ...;17/06/2011 00:00;;24/11/1996;43697-181;RUA G ;594;Jardim Rosa 16;add_ae_jente@yahoo.com.br;56004192954;38854589753;Web Master;1;Masculino;;1;117
19;Gustavo Barbosa;Um funcionário muito competente ...;17/08/2017 00:00;;01/07/1985;47878-909;RUA SAO JOSE ;233;Jardim Rosa 17;addgeral@gmail.com;89450212262;65907751698;Web Master;1;Masculino;;1;118
20;Samuel Lopes;Um funcionário muito competente ...;03/09/2011 00:00;;05/04/1996;75412-779;RUA ONZE ;768;Jardim Rosa 18;addyevusk@yahoo.com.br;83697352541;76815122832;Web Master;1;Masculino;;1;119
21;Henrique Vieira;Um funcionário muito competente ...;14/06/2001 00:00;;26/09/1997;22353-400;RUA H ;575;Jardim Rosa 19;adeozemir@yahoo.com.br;77944492820;71425382677;Web Master;1;Masculino;;1;120
22;Felipe Souza;Um funcionário muito competente ...;03/03/2011 00:00;;04/12/2000;61182-110;RUA SAO PAULO ;588;Jardim Rosa 20;adhaha@gmail.com;60502254525;79600195074;Web Master;1;Masculino;;1;121
23;Murilo Fernandes;Um funcionário muito competente ...;09/01/2015 00:00;;19/03/1956;59265-046;RUA DOZE ;265;Jardim Rosa 21;adhaha@gmail.com;90176441114;90803809840;Web Master;1;Masculino;;1;122
24;Joaquim Lima;Um funcionário muito competente ...;09/10/2009 00:00;;04/07/1995;65384-343;RUA TREZE ;751;Jardim Rosa 22;adidas__star@hotmail.com;44602492242;14885259473;Web Master;1;Masculino;;1;123
25;João Pedro Costa;Um funcionário muito competente ...;30/07/2016 00:00;;26/09/1959;82914-902;RUA SANTO ANTONIO ;218;Jardim Rosa 23;adidas__star@hotmail.com;56394839649;44883717974;Web Master;1;Masculino;;1;124
26;João Miguel Batista;Um funcionário muito competente ...;03/06/2008 00:00;;24/12/1982;12077-639;AVENIDA BRASIL ;417;Jardim Rosa 24;adilio-vidaloka@yahoo.com.br;68187187056;61869893109;Web Master;1;Masculino;;1;125
27;Enzo Gabriel Dias;Um funcionário muito competente ...;13/09/2001 00:00;;05/11/1974;84929-082;RUA 0I ;293;Jardim Rosa 25;adilson.mariano5@terra.com.br;79979534463;71357306315;Web Master;1;Masculino;;1;126
28;Daniel Moreira;Um funcionário muito competente ...;22/08/2005 00:00;;25/02/1978;51454-328;RUA 2 ;82;Jardim Rosa 26;admgerald1@yahoo.com.br;57010412992;31338537223;Web Master;1;Masculino;;1;127
29;Isaac de Lima;Um funcionário muito competente ...;22/03/2007 00:00;;15/08/1996;49127-907;RUA 01 ;467;Jardim Rosa 27;adri_barboza@hotmail.com;34041291521;60552572416;Web Master;1;Masculino;;1;128
30;Pietro de Sousa;Um funcionário muito competente ...;26/05/2005 00:00;;09/02/1961;68574-946;RUA 3 ;678;Jardim Rosa 28;adri_barboza@hotmail.com;11072170050;83904184766;Web Master;1;Masculino;;1;129
31;Pedro Henrique Nunes;Um funcionário muito competente ...;14/07/2003 00:00;;30/06/1956;15348-406;RUA SAO PEDRO ;423;Jardim Rosa 29;adriaens@pandora.be;57020412992;24949140222;Web Master;1;Masculino;;1;130
32;Lucca da Costa;Um funcionário muito competente ...;19/12/2018 00:00;;18/07/1996;82338-507;RUA QUINZE ;880;Jardim Rosa 30;adrian_boyzinhu@yahoo.com.br;57040412992;20712180710;Web Master;1;Masculino;;1;131
33;Eduardo de Almeida;Um funcionário muito competente ...;21/11/2016 00:00;;01/01/1999;55227-439;RUA SAO JOAO ;373;Jardim Rosa 31;adriana_lemes_farias@hotmail.com;7503425771;51721141951;Web Master;1;Masculino;;1;132
34;Benício Mendes;Um funcionário muito competente ...;05/03/2003 00:00;;21/12/1990;39529-655;RUA J ;709;Jardim Rosa 32;adriana_lemes_farias@hotmail.com;29744229130;51701144093;Web Master;1;Masculino;;1;133
35;Leonardo Carvalho;Um funcionário muito competente ...;16/08/2011 00:00;;01/03/1982;36752-721;RUA QUATORZE ;583;Jardim Rosa 33;adrianacpx@yahoo.com.br;92937715179;77960422081;Web Master;1;Masculino;;1;134
36;Vitor Araujo;Um funcionário muito competente ...;14/07/2010 00:00;;22/01/1991;52256-675;RUA SAO FRANCISCO ;488;Jardim Rosa 34;adriane_do_prado@yahoo.com.br;58184976670;15050653814;Web Master;1;Masculino;;1;135
37;João Lucas Cardoso;Um funcionário muito competente ...;13/08/2015 00:00;;20/09/1958;20081-804;RUA SETE DE SETEMBRO ;671;Jardim Rosa 35;adrianinhaim@bol.com.br;72685533915;96509159493;Web Master;1;Masculino;;1;136
38;Bryan Teixeira;Um funcionário muito competente ...;05/02/2011 00:00;;27/07/1992;45652-830;RUA 4 ;280;Jardim Rosa 36;adrianinhaim@bol.com.br;96805522650;21065659512;Web Master;1;Masculino;;1;137
39;João Marques;Um funcionário muito competente ...;22/04/2007 00:00;;24/06/1966;67390-365;RUA DEZESSEIS ;961;Jardim Rosa 37;adrianinhaxp@yahoo.com.br;60122212424;47158831460;Web Master;1;Masculino;;1;138
40;Cauã do Nascimento;Um funcionário muito competente ...;03/07/2001 00:00;;02/06/1960;52479-794;RUA QUINZE DE NOVEMBRO ;640;Jardim Rosa 38;adriano.fariasnascimento@yahoo.com.br;2240354597;86056546850;Web Master;1;Masculino;;1;139
41;Davi Lucca Almeida;Um funcionário muito competente ...;06/05/2006 00:00;;10/07/1962;83117-634;RUA 5 ;331;Jardim Rosa 39;adriano_wolf1@hotmail.com;40207369421;79696534048;Web Master;1;Masculino;;1;140
42;Anthony Ramos;Um funcionário muito competente ...;29/09/2014 00:00;;23/10/1958;71847-047;RUA TIRADENTES ;73;Jardim Rosa 40;adrianogato.2007@hotmail.com;55434420484;80900092611;Web Master;1;Masculino;;1;141
43;Vicente Machado;Um funcionário muito competente ...;08/02/2001 00:00;;30/10/1989;22895-022;RUA DEZESSETE ;622;Jardim Rosa 41;adrianojareck@hotmail.com;9673579657;18552412124;Web Master;1;Masculino;;1;142
44;Vinícius Rocha;Um funcionário muito competente ...;08/09/2008 00:00;;18/05/1973;74602-115;RUA 6 ;851;Jardim Rosa 42;adrianonev3s@gmail.com;73438486024;11473723429;Web Master;1;Masculino;;1;143
45;Caio Nascimento;Um funcionário muito competente ...;29/06/2002 00:00;;21/06/1959;36695-690;RUA L ;609;Jardim Rosa 43;adrianosenna@yahoo.com.br;4090224916;71416723510;Web Master;1;Masculino;;1;144
46;Antônio de Araujo;Um funcionário muito competente ...;04/07/2006 00:00;;07/10/1979;26582-905;RUA VINTE ;528;Jardim Rosa 44;adrianraniery@bol.com.br;84835353456;52363367516;Web Master;1;Masculino;;1;145
47;Davi Lucas da Conceiçao;Um funcionário muito competente ...;31/12/2016 00:00;;27/02/1971;64218-607;RUA BAHIA ;686;Jardim Rosa 45;Adriedson88@hotmail.com;64060145836;80265000026;Web Master;1;Masculino;;1;146
48;Bento Bezerra;Um funcionário muito competente ...;20/09/2010 00:00;;17/11/1976;59254-368;RUA AMAZONAS ;886;Jardim Rosa 46;adrieli_baldoria@hotmail.com;16237185587;35125863328;Web Master;1;Masculino;;1;147
49;João Gabriel Sousa;Um funcionário muito competente ...;30/01/2019 00:00;;15/10/1972;82783-508;RUA DEZOITO ;45;Jardim Rosa 47;adrielle_amaral@yahoo.com.br;75017588595;58409434156;Web Master;1;Masculino;;1;148
50;João Vitor Borges;Um funcionário muito competente ...;09/12/2014 00:00;;26/11/1991;40128-581;RUA SAO SEBASTIAO ;539;Jardim Rosa 48;adrielli_cr@hotmail.com;58614708642;86421969341;Web Master;1;Masculino;;1;149
51;Noah Santana;Um funcionário muito competente ...;17/07/2016 00:00;;28/12/1977;53204-040;RUA PARANA ;309;Jardim Rosa 49;adrielly@yaroo.com;58614708642;75247048207;Web Master;1;Masculino;;1;150
52;Francisco de Carvalho;Um funcionário muito competente ...;05/10/2016 00:00;;06/08/1983;67598-272;RUA BELA VISTA ;554;Jardim Rosa 50;adrielly_silva@yaroo.com;58614708642;14406288582;Web Master;1;Masculino;;1;151
53;Calebe Aparecido;Um funcionário muito competente ...;09/03/2016 00:00;;15/01/1977;39704-741;RUA M ;826;Jardim Rosa 51;adriely_94@hotmail.com;40232097004;64652645608;Web Master;1;Masculino;;1;152
54;Gael Pinto;Um funcionário muito competente ...;11/06/2012 00:00;;19/06/1986;20651-506;RUA 7 ;460;Jardim Rosa 52;adrienevinhote@hotmail.com;38656800256;33654660369;Web Master;1;Masculino;;1;153
55;Emanuel  Pinheiro;Um funcionário muito competente ...;03/07/2009 00:00;;20/01/1993;87565-330;RUA SANTA LUZIA ;307;Jardim Rosa 53;adryana_maia@hotmail.com;94370720184;66224071458;Web Master;1;Masculino;;1;154
56;Ian Monteiro;Um funcionário muito competente ...;26/07/2007 00:00;;07/04/1954;85387-594;RUA SAO JORGE ;310;Jardim Rosa 54;adryana_maia@hotmail.com;94370720184;86089358375;Web Master;1;Masculino;;1;155
57;Luiz Miguel Andrade;Um funcionário muito competente ...;03/06/2017 00:00;;27/12/1969;89672-633;RUA DEZENOVE ;968;Jardim Rosa 55;adryana_maia@hotmail.com;94370720184;63259215245;Web Master;1;Masculino;;1;156
58;Enrico Leite;Um funcionário muito competente ...;04/06/2020 00:00;;02/07/1973;80538-979;RUA CASTRO ALVES ;181;Jardim Rosa 56;adryshevchenko7@hotmail.com;94370720184;71950746670;Web Master;1;Masculino;;1;157
59;Thiago Correa;Um funcionário muito competente ...;19/10/2016 00:00;;17/04/1983;45571-661;RUA DUQUE DE CAXIAS ;813;Jardim Rosa 57;adryshevchenko7@yahoo.com.br;94370720184;47369982600;Web Master;1;Masculino;;1;158
60;Augusto Nogueira;Um funcionário muito competente ...;03/08/2011 00:00;;27/02/1971;40190-356;RUA PROJETADA ;478;Jardim Rosa 58;adryshevchenko7@hotmail.com;94370720184;39659623480;Web Master;1;Masculino;;1;159
61;Otávio Garcia;Um funcionário muito competente ...;23/08/2011 00:00;;06/01/1997;38251-365;RUA RUI BARBOSA ;301;Jardim Rosa 59;a-ferraz@bol.com.br;50932886594;62183178627;Web Master;1;Masculino;;1;160
62;João Guilherme de Freitas;Um funcionário muito competente ...;19/09/2015 00:00;;27/09/1996;55388-675;RUA SANTA CATARINA ;76;Jardim Rosa 60;afonso-catador@hotmail.com;91849731107;24794443618;Web Master;1;Masculino;;1;161
63; Ryan Henrique;Um funcionário muito competente ...;19/05/2020 00:00;;27/11/1984;28975-295;RUA MINAS GERAIS ;540;Jardim Rosa 61;afonso-catador@hotmail.com;81328702172;64957197670;Web Master;1;Masculino;;1;162
64; Yuri Tavares;Um funcionário muito competente ...;22/12/2019 00:00;;11/01/1976;76629-498;RUA N ;804;Jardim Rosa 62;afonsoducarmo@yahoo.com.com.br;26464122766;32630796528;Web Master;1;Masculino;;1;163
65; Levi Coelho;Um funcionário muito competente ...;15/02/2015 00:00;;14/05/2001;40572-911;RUA SANTOS DUMONT ;168;Jardim Rosa 63;afrancar15@yahoo.com.br;26464122766;43643900900;Web Master;1;Masculino;;1;164
66; Vitor Hugo Pires;Um funcionário muito competente ...;27/07/2018 00:00;;24/12/1958;59934-314;RUA 8 ;626;Jardim Rosa 64;agatha_rosa8@yahoo.com.br;26464122766;67645104989;Web Master;1;Masculino;;1;165
67; Erick de Paula;Um funcionário muito competente ...;01/03/2019 00:00;;21/09/1953;28649-621;RUA ESPIRITO SANTO ;486;Jardim Rosa 65;agatha_rosa8@yahoo.com.br;26464122766;65987628778;Web Master;1;Masculino;;1;166
68; Bruno Correia;Um funcionário muito competente ...;01/06/2013 00:00;;19/10/1971;39818-120;RUA VINTE E UM ;114;Jardim Rosa 66;agente_fbi13@yahoo.com.br;26464122766;14283748225;Web Master;1;Masculino;;1;167
69; Nathan Miranda;Um funcionário muito competente ...;11/05/2016 00:00;;13/10/1997;85599-466;RUA VINTE E DOIS ;562;Jardim Rosa 67;agente_fbi13@yahoo.com.br;26464122766;17907296312;Web Master;1;Masculino;;1;168
70; Raul de Jesus;Um funcionário muito competente ...;07/01/2019 00:00;;21/06/1985;47636-776;RUA DA PAZ ;372;Jardim Rosa 68;agente_fbi13@yahoo.com.br;26464122766;60781129033;Web Master;1;Masculino;;1;169
71; Henry Duarte;Um funcionário muito competente ...;26/05/2003 00:00;;10/01/2000;60431-805;RUA TREZE DE MAIO ;777;Jardim Rosa 69;agloco.com.fake@gmail.com;26464122766;67704106268;Web Master;1;Masculino;;1;170
72; Davi Luiz Freitas;Um funcionário muito competente ...;08/07/2001 00:00;;09/05/1984;77804-007;RUA K ;890;Jardim Rosa 70;agloco-sv@bol.com.br;26464122766;32603175744;Web Master;1;Masculino;;1;171
73; Luiz Felipe Barros;Um funcionário muito competente ...;28/05/2006 00:00;;20/06/1990;31018-446;RUA RIO DE JANEIRO ;818;Jardim Rosa 71;agnaldojt@hotmail.com;26464122766;29473977762;Web Master;1;Masculino;;1;172
